#catalog	Pathway	CKmc1	CKmc2	CKmc3	CKmc4	CKmc5	CKmc6	0hmc1	0hmc2	0hmc3	0hmc4	0hmc5	0hmc7	12hmc1	12hmc2	12hmc3	12hmc4	12hmc5	12hmc6	48hmc1	48hmc2	48hmc3	48hmc4	48hmc5	48hmc6
map01055	Biosynthesis of vancomycin group antibiotics	15	23	43	24	21	32	6	16	4	6	7	65	3	5	7	6	6	8	16	11	17	10	9	8
map02024	Quorum sensing	2128	3332	4794	2933	1739	4153	1465	1642	771	649	1215	4995	657	653	1724	1347	1196	1463	1126	1065	1045	1344	1011	927
map02025	Biofilm formation - Pseudomonas aeruginosa	386	620	867	408	343	707	196	202	198	259	143	813	222	77	203	289	378	216	418	418	402	562	453	411
map00760	Nicotinate and nicotinamide metabolism	306	632	746	515	267	755	124	211	104	129	108	871	109	110	174	178	175	198	271	308	280	347	313	214
map05415	Diabetic cardiomyopathy	250	312	560	387	258	369	92	203	367	127	59	964	120	105	152	90	106	151	264	174	185	287	201	121
map00400	"Phenylalanine, tyrosine and tryptophan biosynthesis"	278	558	669	474	245	684	148	179	90	118	163	789	116	60	169	193	219	196	263	240	297	299	304	235
map00640	Propanoate metabolism	514	1003	1233	742	436	1125	259	312	186	179	231	1283	202	126	299	274	298	335	463	421	393	514	449	356
map05418	Fluid shear stress and atherosclerosis	228	360	491	373	190	445	114	149	53	68	98	520	71	65	139	122	115	185	209	110	135	253	161	135
map00521	Streptomycin biosynthesis	115	200	255	198	101	262	44	83	36	51	55	321	33	17	57	50	77	46	100	77	103	103	105	63
map00643	Styrene degradation	159	209	390	177	139	285	71	64	45	31	77	322	26	28	126	79	83	69	104	101	111	148	92	80
map00520	Amino sugar and nucleotide sugar metabolism	477	958	1013	928	395	1020	220	324	121	189	171	1428	157	93	196	228	282	193	470	424	384	575	424	286
map05416	Viral myocarditis	31	43	56	75	16	48	31	92	7	20	15	56	8	12	19	15	14	23	110	67	40	105	45	21
map00401	Novobiocin biosynthesis	51	120	161	100	59	174	32	55	13	17	60	192	31	8	62	49	51	64	70	54	63	68	48	43
map02026	Biofilm formation - Escherichia coli	322	566	784	462	260	766	189	197	124	120	146	849	120	78	193	214	275	195	326	309	315	400	329	265
map00524	"Neomycin, kanamycin and gentamicin biosynthesis"	6	26	15	43	11	25	4	9	2	17	2	50	3	0	1	2	12	1	21	6	12	15	11	10
map00525	Acarbose and validamycin biosynthesis	30	43	69	36	30	75	8	18	12	6	12	94	5	5	22	7	7	12	17	20	21	17	17	10
map05417	Lipid and atherosclerosis	101	160	186	219	49	183	33	132	26	88	41	324	40	66	107	45	41	139	174	67	83	190	115	42
map00523	Polyketide sugar unit biosynthesis	67	82	106	78	56	136	18	37	19	27	32	141	22	5	32	22	23	26	39	31	46	49	67	23
map00404	Staurosporine biosynthesis	1	15	21	16	0	15	0	0	0	0	0	22	0	0	0	1	0	0	3	0	9	3	26	5
map00642	Ethylbenzene degradation	7	22	54	32	3	28	20	12	3	9	12	60	3	16	28	18	10	19	18	17	8	15	28	15
map00405	Phenazine biosynthesis	23	86	66	55	24	92	27	18	9	11	5	88	13	3	33	26	18	32	29	16	29	40	24	15
map05410	Hypertrophic cardiomyopathy	6	2	34	16	2	14	41	153	7	21	3	21	0	24	30	5	19	39	188	74	57	191	50	23
map02030	Bacterial chemotaxis	458	820	1041	655	368	913	288	268	208	198	234	1219	231	123	212	310	438	236	373	408	406	501	506	329
map04210	Apoptosis	36	63	59	67	27	65	23	119	10	30	25	124	11	26	50	20	33	34	129	66	62	141	48	47
map04211	Longevity regulating pathway	50	109	126	81	29	94	68	179	11	48	28	175	20	72	59	12	44	108	127	75	66	188	86	39
map04212	Longevity regulating pathway - worm	283	521	603	476	231	577	135	219	65	87	98	704	102	104	150	166	151	145	232	147	180	280	193	154
map00770	Pantothenate and CoA biosynthesis	375	695	918	581	282	753	202	250	166	130	188	970	116	68	171	235	207	203	333	275	245	417	288	225
map00650	Butanoate metabolism	665	1227	1549	939	626	1359	356	357	214	261	275	1607	248	155	347	403	375	385	580	450	518	676	524	462
map04214	Apoptosis - fly	70	100	94	86	29	102	23	88	17	31	33	128	16	33	24	23	24	47	102	56	46	104	56	27
map00410	beta-Alanine metabolism	289	440	646	382	207	544	101	132	127	107	97	667	88	54	105	157	141	152	252	217	208	340	238	192
map04216	Ferroptosis	130	195	190	144	116	187	50	97	67	38	47	244	30	21	66	54	67	52	109	81	69	142	79	76
map01501	beta-Lactam resistance	293	651	722	414	240	597	154	227	123	73	128	761	71	99	193	165	153	205	245	263	281	333	293	207
map01502	Vancomycin resistance	93	206	236	146	50	174	20	41	30	12	29	190	41	8	52	42	31	28	56	48	61	96	48	41
map01503	Cationic antimicrobial peptide (CAMP) resistance	184	413	507	299	195	457	132	173	65	63	108	521	42	87	164	135	148	168	206	206	223	222	305	165
map03008	Ribosome biogenesis in eukaryotes	21	39	37	72	19	38	18	44	13	19	13	94	9	12	29	11	12	66	53	47	23	93	34	12
map00531	Glycosaminoglycan degradation	23	41	207	36	38	42	22	239	26	144	24	89	11	155	155	2	18	75	87	47	35	70	35	27
map04213	Longevity regulating pathway - multiple species	140	250	305	203	116	204	82	228	34	108	65	372	50	92	77	33	72	44	191	114	103	236	139	69
map00533	Glycosaminoglycan biosynthesis - keratan sulfate	5	0	10	1	0	0	6	23	0	7	0	3	1	3	16	1	3	0	20	9	5	16	9	2
map04215	Apoptosis - multiple species	31	43	41	37	18	46	4	30	6	19	24	51	11	6	4	13	6	9	38	24	18	40	27	11
map04217	Necroptosis	78	139	207	202	57	202	35	83	10	20	41	341	23	23	55	16	53	122	144	85	64	137	107	44
map01059	Biosynthesis of enediyne antibiotics	3	1	3	3	1	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0
map02040	Flagellar assembly	501	860	1011	683	353	1025	243	258	151	191	223	1130	172	132	289	272	273	237	423	424	373	485	398	318
map03010	Ribosome	541	1088	1006	1197	410	1338	183	337	177	173	174	1563	182	132	191	281	230	391	422	456	460	544	503	354
map00780	Biotin metabolism	273	527	599	403	201	509	123	139	75	64	91	559	62	37	126	126	133	101	269	195	254	269	215	179
map00660	C5-Branched dibasic acid metabolism	192	370	484	256	145	399	125	120	58	75	83	449	65	40	119	114	108	119	165	190	139	189	183	133
map00540	Lipopolysaccharide biosynthesis	228	429	589	350	184	483	130	117	97	126	111	610	88	39	93	185	188	165	254	197	208	291	256	257
map00541	O-Antigen nucleotide sugar biosynthesis	327	551	598	484	261	625	130	172	65	116	122	760	100	53	143	139	162	133	246	244	221	299	242	166
map00300	Lysine biosynthesis	280	521	588	416	181	556	128	171	102	87	114	650	96	54	158	135	126	164	208	212	158	269	213	164
map03018	RNA degradation	270	616	642	548	214	618	157	199	80	173	120	836	86	92	164	167	179	190	316	263	205	334	272	182
map00785	Lipoic acid metabolism	30	45	52	35	8	57	9	28	2	18	15	58	9	15	19	14	12	6	30	32	26	32	23	13
map00542	O-Antigen repeat unit biosynthesis	17	11	16	19	3	12	2	1	0	0	2	26	0	0	1	4	3	8	0	0	0	0	0	0
map03013	Nucleocytoplasmic transport	2	2	9	69	0	2	13	133	0	18	11	98	0	4	44	1	15	32	127	67	26	182	33	10
map03020	RNA polymerase	97	226	137	172	60	218	36	113	25	69	39	269	22	47	77	34	48	51	120	92	92	156	96	61
map04110	Cell cycle	11	8	127	42	45	2	25	138	10	67	5	49	9	28	40	7	20	34	119	57	21	132	27	13
map05200	Pathways in cancer	245	358	549	417	218	463	203	624	52	192	135	573	83	170	303	143	177	291	617	278	247	678	243	170
map00790	Folate biosynthesis	288	613	677	505	225	590	121	142	104	154	106	746	88	57	173	183	182	154	335	283	293	434	331	247
map00670	One carbon pool by folate	193	451	440	355	130	400	91	116	58	86	79	600	60	49	73	85	106	110	201	190	156	215	174	159
map00550	Peptidoglycan biosynthesis	336	744	758	613	261	823	142	150	110	73	117	844	108	89	199	157	160	175	270	278	289	344	300	210
map04112	Cell cycle - Caulobacter	348	562	644	522	213	636	78	125	90	47	69	746	85	51	69	123	112	97	141	158	132	221	175	119
map00310	Lysine degradation	404	674	928	557	345	752	191	245	146	159	186	937	144	101	177	212	227	253	386	348	345	536	328	313
map05206	MicroRNAs in cancer	39	98	74	67	15	71	49	202	26	30	29	89	5	31	56	25	34	62	179	95	45	195	48	24
map05204	Chemical carcinogenesis - DNA adducts	169	264	365	244	151	313	85	111	33	49	64	362	45	30	101	97	82	119	101	61	86	124	86	87
map01523	Antifolate resistance	66	131	127	104	43	112	38	58	29	29	25	205	21	18	26	26	39	30	74	69	47	62	52	48
map01524	Platinum drug resistance	232	402	497	332	199	435	103	148	67	96	106	520	67	68	126	137	114	132	171	120	128	188	117	119
map05207	Chemical carcinogenesis - receptor activation	187	288	434	308	167	344	160	351	41	111	95	447	54	111	180	106	107	201	299	141	152	318	158	122
map05208	Chemical carcinogenesis - reactive oxygen species	411	507	806	539	374	562	161	273	398	171	126	1198	163	154	254	176	189	237	325	200	233	352	219	171
map00311	Penicillin and cephalosporin biosynthesis	27	37	32	18	12	44	23	29	1	14	17	57	6	1	20	28	23	28	27	30	35	44	25	22
map05203	Viral carcinogenesis	21	48	43	96	11	52	31	110	14	35	13	154	23	54	34	32	23	98	172	76	36	136	64	53
map04914	Progesterone-mediated oocyte maturation	20	27	82	46	14	34	62	168	8	52	30	69	9	90	53	13	20	99	100	57	39	125	70	25
map04915	Estrogen signaling pathway	18	25	81	80	11	40	72	172	8	86	35	105	9	95	91	17	20	108	116	66	58	151	86	30
map04919	Thyroid hormone signaling pathway	31	51	95	56	45	77	74	267	17	58	27	111	20	67	87	40	51	73	258	111	95	266	79	43
map04910	Insulin signaling pathway	41	75	93	96	16	65	39	125	17	37	23	171	11	31	33	18	29	45	125	83	53	165	51	29
map04918	Thyroid hormone synthesis	34	54	139	70	28	47	69	164	13	66	31	102	10	68	88	24	30	18	134	74	64	140	89	40
map00430	Taurine and hypotaurine metabolism	125	234	279	144	91	286	97	79	50	49	80	401	37	37	129	95	101	122	145	120	97	202	130	115
map05205	Proteoglycans in cancer	12	27	52	85	20	25	63	232	4	45	5	84	6	34	78	12	39	50	296	107	87	278	31	41
map04111	Cell cycle - yeast	11	8	124	26	45	1	15	109	10	65	3	52	9	18	39	10	14	30	84	48	29	111	16	12
map05322	Systemic lupus erythematosus	5	7	16	32	3	12	26	101	9	29	11	32	7	33	48	13	7	20	56	22	12	56	27	10
map00791	Atrazine degradation	49	94	127	82	40	101	30	29	27	5	29	107	21	15	47	48	32	43	30	43	39	51	38	31
map04917	Prolactin signaling pathway	1	5	0	15	0	2	3	47	0	7	0	23	0	0	3	0	4	43	32	15	8	33	7	0
map04115	p53 signaling pathway	31	43	41	54	14	46	3	34	5	11	16	51	8	6	14	13	7	21	44	30	15	39	19	11
map02060	Phosphotransferase system (PTS)	61	159	157	184	49	201	31	29	36	21	27	267	33	0	14	41	72	35	33	62	54	60	70	39
map04916	Melanogenesis	5	1	52	24	4	6	84	200	2	64	19	46	2	72	93	4	33	11	131	63	46	137	53	31
map03030	DNA replication	267	780	728	500	251	656	124	213	117	182	126	819	101	69	160	151	183	183	293	243	224	388	234	198
map04113	Meiosis - yeast	60	87	239	70	94	54	37	159	25	85	19	150	14	27	38	12	20	28	115	58	30	151	31	22
map05210	Colorectal cancer	31	43	46	52	14	46	8	76	5	32	13	63	8	19	14	13	12	28	98	65	28	106	34	12
map04122	Sulfur relay system	168	355	366	255	85	322	53	76	57	38	50	367	45	44	80	91	94	66	132	115	110	124	153	112
map00680	Methane metabolism	486	913	1166	861	389	1080	272	304	136	220	216	1307	160	136	224	256	285	278	388	421	339	494	463	340
map04360	Axon guidance	1	1	19	20	3	0	64	213	0	61	7	41	0	18	66	1	39	14	233	85	71	199	45	6
map00561	Glycerolipid metabolism	218	355	487	362	132	404	60	143	84	82	68	552	60	36	61	114	100	105	229	180	178	275	165	174
map00562	Inositol phosphate metabolism	105	211	284	150	112	248	74	166	46	64	59	286	36	72	121	82	99	85	189	136	131	176	142	76
map05215	Prostate cancer	18	25	38	53	10	34	10	92	6	18	12	61	7	29	40	9	18	74	108	47	38	89	32	11
map00564	Glycerophospholipid metabolism	350	566	694	507	263	673	147	257	135	123	97	796	110	43	180	184	191	190	342	305	278	402	348	201
map04920	Adipocytokine signaling pathway	120	195	195	126	105	184	63	134	72	37	49	232	26	24	103	63	72	142	156	100	89	189	95	78
map04922	Glucagon signaling pathway	100	185	194	219	52	205	66	95	30	54	41	333	37	77	60	49	55	57	155	99	82	153	86	83
map00440	Phosphonate and phosphinate metabolism	92	135	227	118	54	188	58	39	12	23	43	234	23	5	48	57	49	58	85	86	61	91	60	71
map00565	Ether lipid metabolism	34	59	94	21	47	78	37	78	17	27	32	80	20	31	56	42	32	42	77	34	49	79	39	33
map05219	Bladder cancer	11	11	25	26	15	20	23	22	8	19	19	26	8	14	8	12	13	19	35	22	5	39	13	8
map04361	Axon regeneration	10	18	34	41	6	22	41	198	3	33	9	27	8	26	38	11	22	27	169	85	48	202	31	9
map04120	Ubiquitin mediated proteolysis	2	4	15	87	8	5	24	123	8	11	7	102	4	37	38	1	20	32	165	38	43	211	39	6
map04925	Aldosterone synthesis and secretion	1	0	43	11	4	1	63	159	12	56	21	37	2	68	71	6	12	21	122	51	37	137	56	24
map05211	Renal cell carcinoma	17	25	40	32	16	40	8	51	4	13	7	41	9	24	22	9	20	16	48	36	28	67	16	12
map04924	Renin secretion	6	2	34	15	0	13	20	81	3	13	0	29	0	39	42	8	11	15	55	17	34	92	25	8
map04921	Oxytocin signaling pathway	1	3	56	44	10	5	69	207	2	69	22	68	2	72	73	11	18	30	182	64	52	212	55	25
map05214	Glioma	1	0	5	10	3	0	2	37	0	4	0	23	0	11	17	0	2	5	70	34	12	55	5	1
map04911	Insulin secretion	1	0	40	8	4	0	63	197	2	67	18	34	2	70	68	6	20	18	116	49	31	140	53	20
map04912	GnRH signaling pathway	1	0	43	14	4	0	62	174	2	68	21	43	2	79	89	9	19	20	131	44	39	161	55	19
map05202	Transcriptional misregulation in cancer	1	0	9	41	1	2	42	175	5	47	7	19	4	51	39	11	20	34	156	37	37	133	30	11
map04114	Oocyte meiosis	2	2	72	38	11	1	58	203	2	65	18	63	2	55	56	9	15	37	96	55	35	151	51	18
map04370	VEGF signaling pathway	52	20	642	19	95	14	46	106	190	239	51	104	112	228	151	21	19	120	64	49	41	50	68	9
map04371	Apelin signaling pathway	52	23	693	21	102	12	100	286	197	291	75	143	114	305	207	27	39	164	196	114	96	218	123	26
map05340	Primary immunodeficiency	13	35	21	45	10	34	4	7	6	3	10	32	2	2	7	14	12	10	36	15	16	26	20	11
map04011	MAPK signaling pathway - yeast	26	60	49	50	24	49	14	34	4	17	7	181	16	1	33	7	25	8	47	34	20	45	29	17
map05222	Small cell lung cancer	31	43	45	41	18	49	8	46	6	11	16	52	11	6	40	14	10	18	112	43	30	95	29	14
map04013	MAPK signaling pathway - fly	24	49	54	83	4	45	38	155	5	68	7	108	3	31	60	9	20	31	173	78	47	152	44	14
map00450	Selenocompound metabolism	238	414	444	304	170	445	107	126	59	72	96	609	50	95	144	126	95	138	178	126	135	211	183	112
map00330	Arginine and proline metabolism	494	818	1194	784	386	1096	225	357	171	133	267	1310	122	61	333	289	318	247	383	390	382	457	459	265
map04016	MAPK signaling pathway - plant	86	180	164	155	73	148	36	62	37	22	36	245	35	18	61	48	49	48	75	52	61	69	51	48
map04930	Type II diabetes mellitus	20	43	35	41	9	49	11	51	12	22	4	94	20	25	4	27	21	49	68	41	26	80	21	31
map00333	Prodigiosin biosynthesis	146	243	337	185	98	236	58	78	39	42	43	330	34	22	90	61	69	63	123	102	140	158	119	93
map04932	Non-alcoholic fatty liver disease	101	106	176	140	110	122	41	100	152	71	35	360	57	55	62	30	36	139	115	84	75	128	74	46
map00332	Carbapenem biosynthesis	25	63	78	44	10	64	8	11	15	13	14	59	5	8	13	9	18	10	18	16	22	15	32	13
map04934	Cushing syndrome	90	52	489	33	109	54	125	387	110	282	85	127	63	318	222	43	79	142	283	137	78	298	122	44
map04012	ErbB signaling pathway	1	0	15	7	3	0	8	53	0	9	2	12	0	12	17	0	5	10	80	30	12	74	14	0
map04936	Alcoholic liver disease	264	332	575	261	170	444	89	184	104	83	94	570	68	107	140	127	103	226	314	228	222	373	230	232
map04931	Insulin resistance	48	92	103	98	31	111	33	140	27	33	17	186	28	15	44	21	39	41	113	52	61	150	57	32
map05225	Hepatocellular carcinoma	178	265	393	275	165	344	123	281	34	86	72	409	54	46	144	105	122	110	281	146	134	285	108	98
map05100	Bacterial invasion of epithelial cells	2	5	2	42	0	12	12	77	0	19	0	53	0	0	18	3	2	44	93	25	33	91	16	14
map00571	Lipoarabinomannan (LAM) biosynthesis	0	18	3	3	0	10	0	0	0	0	0	10	0	0	0	0	0	0	5	0	3	0	1	0
map04137	Mitophagy - animal	0	1	1	39	0	3	10	18	0	10	0	60	4	0	6	0	7	6	26	15	14	58	12	4
map03050	Proteasome	0	3	11	38	0	0	6	28	0	5	0	64	0	0	3	0	2	1	22	12	7	42	0	3
map05321	Inflammatory bowel disease	0	3	0	9	0	0	1	9	10	0	0	0	0	0	3	0	0	10	4	4	1	10	0	2
map00100	Steroid biosynthesis	0	1	4	14	0	3	0	16	0	13	0	25	0	0	0	0	0	0	18	21	20	28	21	17
map05110	Vibrio cholerae infection	0	13	6	33	0	12	12	64	0	5	0	52	0	1	19	1	11	9	79	27	27	93	5	19
map04390	Hippo signaling pathway	0	1	6	30	1	2	41	223	0	23	1	46	0	8	48	3	37	25	178	48	59	196	12	18
map04392	Hippo signaling pathway - multiple species	0	1	14	0	1	0	17	110	0	13	4	9	0	10	58	1	27	36	91	27	33	90	22	4
map04710	Circadian rhythm	0	3	1	11	0	0	2	28	10	2	2	4	0	0	5	0	2	12	14	4	3	21	3	2
map04391	Hippo signaling pathway - fly	0	1	3	19	1	2	38	208	0	25	4	36	0	11	81	1	42	38	201	50	70	200	25	23
map04962	Vasopressin-regulated water reabsorption	0	5	0	9	0	0	6	10	0	4	0	17	0	1	10	0	0	0	25	11	10	43	9	2
map04721	Synaptic vesicle cycle	0	5	8	19	0	0	25	119	0	9	0	53	0	13	31	2	7	25	76	44	32	131	12	7
map05140	Leishmaniasis	0	2	8	32	0	5	1	15	0	10	0	33	0	0	20	0	1	30	24	15	12	27	6	5
map00944	Flavone and flavonol biosynthesis	0	3	0	3	0	0	0	7	0	0	0	1	0	0	0	0	0	12	0	0	0	0	0	0
map04624	Toll and Imd signaling pathway	0	1	0	19	2	0	3	41	2	15	0	16	0	5	29	0	1	15	39	17	17	47	5	5
map00941	Flavonoid biosynthesis	0	6	4	12	0	2	0	5	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0
map00945	"Stilbenoid, diarylheptanoid and gingerol biosynthesis"	0	6	4	11	0	2	0	5	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0
map00140	Steroid hormone biosynthesis	0	2	6	21	0	5	10	38	0	2	0	12	0	7	4	4	1	41	31	8	17	39	6	7
map04640	Hematopoietic cell lineage	0	1	1	30	0	0	5	55	0	25	0	9	0	13	6	6	9	4	61	8	15	47	11	7
map03460	Fanconi anemia pathway	0	2	3	0	1	2	1	27	4	17	1	1	1	1	15	0	7	3	36	14	2	35	2	6
map00196	Photosynthesis - antenna proteins	0	1	0	0	0	7	0	0	0	0	0	6	0	0	0	0	0	0	1	1	3	1	2	8
map00510	N-Glycan biosynthesis	0	16	17	29	4	9	3	32	0	6	3	15	0	2	2	0	0	0	57	13	12	76	6	5
map04320	Dorso-ventral axis formation	0	6	10	4	0	0	10	110	0	15	5	7	0	31	10	0	4	70	49	31	23	63	9	9
map03240	Viral replication	0	13	0	0	0	4	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0
map01052	Type I polyketide structures	0	4	4	0	0	1	0	2	0	0	0	2	0	0	1	1	1	0	0	0	0	0	0	0
map04350	TGF-beta signaling pathway	0	1	6	16	0	0	15	62	0	2	0	8	0	1	23	4	8	7	71	34	10	79	4	2
map03022	Basal transcription factors	0	8	15	4	2	3	15	21	2	4	6	7	0	19	23	14	9	46	24	17	2	15	6	5
map03040	Spliceosome	0	3	10	78	1	2	33	201	0	38	21	89	0	28	61	7	34	198	169	72	46	188	35	20
map04010	MAPK signaling pathway	0	1	36	39	1	7	39	169	0	55	5	52	0	77	52	15	13	110	219	75	67	222	47	18
map00232	Caffeine metabolism	0	0	4	0	0	0	5	6	0	0	0	2	0	0	4	0	0	3	7	5	3	6	3	1
map04960	Aldosterone-regulated sodium reabsorption	0	0	5	7	0	0	1	8	0	7	0	27	0	0	7	0	4	1	30	7	6	7	4	1
map04961	Endocrine and other factor-regulated calcium reabsorption	0	0	2	21	0	0	15	26	5	6	3	33	0	17	24	0	0	7	50	19	23	39	15	6
map04966	Collecting duct acid secretion	0	0	1	14	0	0	1	22	0	0	0	19	0	0	0	1	0	2	13	4	3	28	0	0
map04611	Platelet activation	0	0	51	31	7	2	67	187	2	59	20	38	2	68	59	11	18	25	149	64	41	171	60	26
map04730	Long-term depression	0	0	8	9	0	0	19	46	0	22	0	16	0	28	34	4	3	13	69	26	17	69	10	0
map04610	Complement and coagulation cascades	0	0	1	3	0	0	0	15	0	8	0	9	0	0	3	0	0	10	35	6	7	34	4	1
map04742	Taste transduction	0	0	34	0	1	0	62	164	5	50	18	19	2	47	65	7	12	9	74	51	36	110	36	19
map04744	Phototransduction	0	0	2	6	0	0	2	5	0	5	0	12	0	0	12	0	5	1	9	4	3	15	3	2
map04625	C-type lectin receptor signaling pathway	0	0	19	13	0	4	8	24	0	7	0	24	1	7	38	4	0	41	30	9	12	33	12	3
map04510	Focal adhesion	0	0	28	43	6	4	22	158	0	46	2	39	0	48	47	8	21	21	257	85	34	241	43	16
map04650	Natural killer cell mediated cytotoxicity	0	0	14	16	0	0	0	15	0	11	0	11	0	12	19	0	0	11	23	11	7	20	5	6
map04658	Th1 and Th2 cell differentiation	0	0	4	16	5	0	1	53	0	3	5	20	0	2	27	0	1	15	50	13	20	37	16	4
map04540	Gap junction	0	0	42	28	1	0	65	243	2	64	18	59	5	79	93	11	21	18	151	72	51	158	58	27
map04660	T cell receptor signaling pathway	0	0	11	21	0	0	3	23	0	12	0	29	0	1	27	0	4	16	38	20	15	22	9	0
map04668	TNF signaling pathway	0	0	4	8	0	3	5	39	0	0	0	12	4	17	29	0	2	24	54	19	16	29	9	12
map04550	Signaling pathways regulating pluripotency of stem cells	0	0	3	11	0	0	52	205	0	29	5	17	0	28	65	3	40	10	148	57	56	163	7	3
map05414	Dilated cardiomyopathy	0	0	54	14	3	2	91	250	9	68	19	26	2	75	60	9	26	39	220	96	56	241	76	39
map05412	Arrhythmogenic right ventricular cardiomyopathy	0	0	15	17	2	2	24	85	7	12	0	16	0	19	11	3	14	50	104	25	29	113	15	11
map04330	Notch signaling pathway	0	0	14	3	5	0	9	94	0	4	12	11	0	14	16	1	5	19	68	16	14	44	18	16
map04218	Cellular senescence	0	0	6	35	2	1	14	65	0	10	0	45	0	21	15	2	7	42	92	40	17	122	7	3
map04340	Hedgehog signaling pathway	0	0	1	7	0	2	13	78	0	15	1	13	0	34	20	1	10	2	60	17	17	53	15	0
map04341	Hedgehog signaling pathway - fly	0	0	1	12	0	2	5	34	0	6	1	9	0	14	7	0	1	3	34	13	15	21	9	0
map03015	mRNA surveillance pathway	0	0	2	29	0	9	9	81	0	8	0	65	0	1	35	0	10	29	50	40	14	85	12	8
map05323	Rheumatoid arthritis	0	0	1	22	0	0	1	22	0	2	0	23	0	1	1	1	0	16	13	15	5	40	0	0
map05213	Endometrial cancer	0	0	4	8	0	0	3	54	0	15	0	18	0	11	11	3	10	3	55	35	12	48	7	0
map05216	Thyroid cancer	0	0	3	14	0	0	6	16	0	4	0	4	0	11	7	0	3	6	23	8	7	14	1	1
map05217	Basal cell carcinoma	0	0	1	3	0	0	22	103	0	15	1	7	0	4	29	1	19	3	83	24	28	79	5	2
map05218	Melanoma	0	0	3	5	0	0	0	19	0	1	0	6	0	11	5	0	0	1	26	21	4	10	4	0
map05212	Pancreatic cancer	0	0	5	14	0	0	3	42	0	21	1	17	0	17	20	2	7	13	74	42	12	79	15	4
map05224	Breast cancer	0	0	12	11	6	2	33	218	3	25	7	27	1	17	53	1	23	54	174	63	43	169	17	10
map04014	Ras signaling pathway	0	0	30	22	0	0	32	166	0	41	3	31	0	54	105	8	14	37	167	63	52	191	43	21
map04139	Mitophagy - yeast	0	0	9	8	0	0	4	26	7	19	0	45	0	10	14	0	2	10	43	16	6	55	9	2
map05220	Chronic myeloid leukemia	0	0	10	8	0	0	6	45	0	4	2	11	0	23	21	1	4	14	56	25	16	39	2	4
map05226	Gastric cancer	0	0	9	16	0	2	32	164	0	24	2	15	0	15	54	4	22	12	138	59	37	155	16	2
map05223	Non-small cell lung cancer	0	0	3	7	0	0	0	35	0	8	0	24	0	11	12	0	10	4	47	31	10	32	4	0
map04130	SNARE interactions in vesicular transport	0	0	2	7	0	0	1	6	0	0	0	11	0	0	2	0	0	0	9	8	2	32	1	5
map04015	Rap1 signaling pathway	0	0	57	53	1	3	83	297	12	81	18	53	2	95	139	9	17	35	235	90	66	283	75	34
map05221	Acute myeloid leukemia	0	0	3	16	0	0	7	41	0	9	3	8	0	11	8	0	5	8	61	31	10	64	1	0
map04136	Autophagy - other	0	0	1	9	0	0	2	23	0	0	0	23	0	7	3	2	4	5	48	22	8	65	12	2
map04380	Osteoclast differentiation	0	0	9	16	0	0	3	13	0	5	1	12	1	0	24	0	7	52	15	13	16	27	7	4
map04022	cGMP-PKG signaling pathway	0	0	58	30	7	0	93	276	7	69	23	78	2	100	96	10	33	66	188	113	65	233	67	30
map04140	Autophagy - animal	0	0	6	41	0	5	7	66	0	12	2	53	0	14	16	7	11	32	83	51	35	132	24	3
map04145	Phagosome	0	0	2	63	0	4	22	143	0	18	0	90	3	7	34	10	7	21	149	63	58	200	24	17
map04270	Vascular smooth muscle contraction	0	0	55	26	7	0	74	238	2	88	26	37	2	93	90	12	25	27	176	93	60	242	92	40
map05144	Malaria	0	0	1	6	0	0	0	14	0	16	0	3	0	0	0	3	0	4	15	9	6	28	4	0
map04060	Cytokine-cytokine receptor interaction	0	0	2	10	0	0	10	16	0	0	0	4	0	0	14	3	7	18	16	7	13	43	0	2
map04062	Chemokine signaling pathway	0	0	52	30	1	0	64	173	2	76	18	39	2	86	87	6	22	19	107	48	47	136	61	17
map05032	Morphine addiction	0	0	46	9	1	0	72	210	5	81	20	28	2	70	79	5	21	19	122	51	35	132	64	24
map05033	Nicotine addiction	0	0	2	0	0	0	12	99	0	3	1	1	0	9	42	1	3	16	70	20	20	74	28	2
map04064	NF-kappa B signaling pathway	0	0	4	15	0	3	0	22	0	3	0	6	1	2	26	0	3	50	18	8	17	27	3	2
map01521	EGFR tyrosine kinase inhibitor resistance	0	0	13	17	0	0	8	63	0	8	0	14	0	25	13	0	6	20	74	29	21	79	14	1
map01522	Endocrine resistance	0	0	45	8	6	0	54	191	2	60	23	37	2	74	52	4	13	23	133	66	30	146	58	18
map04913	Ovarian steroidogenesis	0	0	47	4	1	3	60	117	2	51	18	10	2	51	48	4	11	16	63	30	22	92	43	16
map04923	Regulation of lipolysis in adipocytes	0	0	51	12	1	3	74	174	2	56	18	18	2	75	66	5	17	20	89	58	23	116	45	23
map04926	Relaxin signaling pathway	0	0	38	14	1	0	70	172	2	56	18	39	2	53	97	7	11	20	114	64	47	159	57	19
map04927	Cortisol synthesis and secretion	0	0	43	3	1	0	61	137	2	53	20	11	2	70	52	6	16	20	68	42	25	104	51	17
